google_email,calendar_id,measured_from,measured_to,event_count,meeting_count,total_meeting_minutes,avg_meeting_duration_minutes,all_day_event_count,active_hours,early_late_meeting_ratio,weekend_meeting_ratio,focus_time_count,focus_time_minutes,fragmented_calendar_score,no_meeting_block_count,organizer_event_count,attendee_event_count,organizer_ratio,attendee_count_avg,large_meeting_ratio,external_meeting_ratio,accepted_attendee_count,declined_attendee_count,tentative_attendee_count,no_response_ratio,recurring_event_count,recurring_meeting_ratio,busy_minutes,working_location_count,working_location_mix,event_update_count,meeting_provider_mix,fetched_at,fetch_status,error_message
emp0008@company.example,primary,2026-02-21,2026-05-22,119,66,2079,31.5,9,10:00-18:00,0.055,0.049,4,440,64.0,23,19,47,0.288,11.3,0.191,0.127,35,5,1,0.128,45,0.513,4418,47,home:30%;office:60%;other:10%,16,Google Meet:58%;Zoom:23%;Microsoft Teams:6%;In-person:6%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0005@company.example,primary,2026-02-21,2026-05-22,88,88,3370,38.3,7,10:00-17:00,0.033,0.056,2,180,82.4,12,29,59,0.33,3.0,0.157,0.131,46,6,2,0.085,28,0.232,4730,24,home:45%;office:45%;other:10%,20,Google Meet:65%;Zoom:15%;Microsoft Teams:5%;In-person:9%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0011@company.example,primary,2026-02-21,2026-05-22,78,60,2772,46.2,4,09:00-16:00,0.055,0.015,7,491,76.0,15,8,52,0.133,7.2,0.166,0.074,47,6,4,0.0,17,0.195,4902,36,office:75%;home:20%;other:5%,13,Google Meet:58%;Zoom:14%;Microsoft Teams:9%;In-person:13%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0002@company.example,primary,2026-02-21,2026-05-22,77,77,2895,37.6,3,09:00-16:00,0.048,0.036,18,1244,63.1,21,25,52,0.325,9.2,0.184,0.165,41,3,3,0.096,21,0.192,5151,59,home:45%;office:45%;other:10%,11,Google Meet:60%;Zoom:21%;Microsoft Teams:6%;In-person:7%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0007@company.example,primary,2026-02-21,2026-05-22,45,41,1665,40.6,5,10:00-18:00,0.046,0.03,11,726,83.9,22,12,29,0.293,3.6,0.14,0.138,23,2,2,0.069,12,0.231,3387,57,office:75%;home:20%;other:5%,8,Google Meet:56%;Zoom:20%;Microsoft Teams:8%;In-person:9%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0004@company.example,primary,2026-02-21,2026-05-22,70,20,1096,54.8,9,10:00-18:00,0.073,0.045,8,660,40.7,28,3,17,0.15,5.1,0.138,0.092,13,2,1,0.059,19,0.759,3667,34,home:30%;office:60%;other:10%,13,Google Meet:62%;Zoom:14%;Microsoft Teams:7%;In-person:11%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0001@company.example,primary,2026-02-21,2026-05-22,96,96,3542,36.9,5,10:00-16:00,0.05,0,10,1065,84.3,19,16,80,0.167,5.8,0.183,0.077,66,9,6,0.0,27,0.226,6054,26,home:45%;office:45%;other:10%,26,Google Meet:52%;Zoom:20%;Microsoft Teams:11%;In-person:11%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0010@company.example,primary,2026-02-21,2026-05-22,126,69,3519,51.0,7,10:00-17:00,0.13,0.052,11,1133,51.6,22,29,40,0.42,5.4,0.123,0.093,37,4,1,0.0,34,0.354,5668,42,home:30%;office:60%;other:10%,35,Google Meet:60%;Zoom:19%;Microsoft Teams:8%;In-person:8%;Other:5%,2026-05-22T09:00:00+09:00,success,
emp0012@company.example,primary,2026-02-21,2026-05-22,56,25,1095,43.8,7,11:00-16:00,0.074,0.051,10,928,52.6,26,5,20,0.2,3.5,0.037,0.055,15,1,1,0.15,16,0.431,3547,42,home:45%;office:45%;other:10%,10,Google Meet:57%;Zoom:20%;Microsoft Teams:5%;In-person:12%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0006@company.example,primary,2026-02-21,2026-05-22,66,36,1285,35.7,7,11:00-16:00,0.152,0.001,21,2247,42.1,32,5,31,0.139,7.2,0.137,0.091,25,3,2,0.032,26,0.656,5088,33,home:30%;office:60%;other:10%,17,Google Meet:58%;Zoom:15%;Microsoft Teams:12%;In-person:8%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0003@company.example,primary,2026-02-21,2026-05-22,115,72,3816,53.0,6,10:00-16:00,0.073,0.053,5,346,68.5,9,19,53,0.264,5.1,0.119,0.15,38,3,2,0.189,44,0.443,6046,36,office:75%;home:20%;other:5%,32,Google Meet:56%;Zoom:19%;Microsoft Teams:12%;In-person:6%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0009@company.example,primary,2026-02-21,2026-05-22,158,99,5267,53.2,12,09:00-18:00,0.042,0.047,20,2061,76.2,26,26,73,0.263,9.1,0.182,0.066,56,4,6,0.096,59,0.518,9148,54,home:60%;office:30%;other:10%,45,Google Meet:59%;Zoom:15%;Microsoft Teams:9%;In-person:10%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0019@company.example,primary,2026-02-21,2026-05-22,65,65,2964,45.6,4,11:00-16:00,0.053,0.064,14,926,65.5,21,2,63,0.031,5.9,0.164,0.035,57,4,6,0.0,16,0.225,5166,43,home:60%;office:30%;other:10%,14,Google Meet:58%;Zoom:21%;Microsoft Teams:9%;In-person:6%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0027@company.example,primary,2026-02-21,2026-05-22,60,47,2077,44.2,3,09:00-18:00,0.075,0.02,18,1463,57.6,24,5,42,0.106,5.6,0.061,0.072,39,1,3,0.0,20,0.318,5278,47,home:45%;office:45%;other:10%,7,Google Meet:55%;Zoom:19%;Microsoft Teams:7%;In-person:13%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0063@company.example,primary,2026-02-21,2026-05-22,55,55,1573,28.6,9,09:00-18:00,0.101,0.002,17,1532,55.8,24,7,48,0.127,1.2,0.105,0.081,36,4,4,0.083,22,0.27,4557,41,home:60%;office:30%;other:10%,12,Google Meet:57%;Zoom:15%;Microsoft Teams:8%;In-person:13%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0071@company.example,primary,2026-02-21,2026-05-22,67,30,1182,39.4,3,09:00-17:00,0.004,0.046,9,720,44.9,30,3,27,0.1,5.7,0.127,0.139,23,3,1,0.0,28,0.703,3315,62,home:30%;office:60%;other:10%,12,Google Meet:56%;Zoom:20%;Microsoft Teams:9%;In-person:9%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0023@company.example,primary,2026-02-21,2026-05-22,90,74,3197,43.2,2,10:00-17:00,0.045,0.017,7,602,73.4,9,18,56,0.243,2.9,0.101,0.079,51,2,5,0.0,27,0.343,5353,40,home:60%;office:30%;other:10%,21,Google Meet:64%;Zoom:16%;Microsoft Teams:7%;In-person:6%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0055@company.example,primary,2026-02-21,2026-05-22,94,47,1471,31.3,5,11:00-16:00,0.118,0.044,18,1007,37.0,22,1,46,0.021,4.7,0.158,0.047,36,4,4,0.043,28,0.469,3203,45,home:60%;office:30%;other:10%,14,Google Meet:59%;Zoom:17%;Microsoft Teams:6%;In-person:11%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0015@company.example,primary,2026-02-21,2026-05-22,98,54,1712,31.7,6,10:00-17:00,0.014,0.028,6,571,57.4,7,15,39,0.278,5.1,0.126,0.063,34,3,3,0.0,32,0.417,4217,55,home:60%;office:30%;other:10%,26,Google Meet:58%;Zoom:21%;Microsoft Teams:6%;In-person:8%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0035@company.example,primary,2026-02-21,2026-05-22,89,57,1374,24.1,8,09:00-16:00,0.136,0.027,18,1101,63.7,28,5,52,0.088,3.5,0.072,0.04,41,4,3,0.077,26,0.322,4097,37,office:75%;home:20%;other:5%,24,Google Meet:58%;Zoom:15%;Microsoft Teams:10%;In-person:12%;Other:5%,2026-05-22T09:00:00+09:00,success,
emp0039@company.example,primary,2026-02-21,2026-05-22,84,50,2420,48.4,6,11:00-16:00,0.096,0.013,15,1494,45.6,20,11,39,0.22,4.5,0.166,0.022,30,2,3,0.103,20,0.307,4700,53,home:45%;office:45%;other:10%,21,Google Meet:59%;Zoom:21%;Microsoft Teams:5%;In-person:9%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0043@company.example,primary,2026-02-21,2026-05-22,82,42,1625,38.7,6,11:00-16:00,0.131,0.016,21,2028,86.3,30,6,36,0.143,5.8,0.094,0.095,27,3,2,0.111,31,0.509,4925,56,home:45%;office:45%;other:10%,25,Google Meet:56%;Zoom:16%;Microsoft Teams:11%;In-person:10%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0047@company.example,primary,2026-02-21,2026-05-22,70,63,2224,35.3,3,10:00-18:00,0.071,0,10,774,87.1,23,7,56,0.111,4.2,0.179,0.102,43,4,4,0.089,18,0.204,4360,39,home:45%;office:45%;other:10%,15,Google Meet:57%;Zoom:19%;Microsoft Teams:10%;In-person:8%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0059@company.example,primary,2026-02-21,2026-05-22,113,78,2613,33.5,7,10:00-17:00,0.118,0.084,16,1500,77.8,25,14,64,0.179,6.5,0.189,0.034,58,2,2,0.031,34,0.315,6037,54,home:45%;office:45%;other:10%,14,Google Meet:58%;Zoom:17%;Microsoft Teams:7%;In-person:12%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0031@company.example,primary,2026-02-21,2026-05-22,79,50,1720,34.4,5,11:00-17:00,0.05,0.049,15,1037,44.7,21,3,47,0.06,5.0,0.125,0.027,36,3,2,0.128,29,0.437,3765,49,office:75%;home:20%;other:5%,19,Google Meet:62%;Zoom:15%;Microsoft Teams:11%;In-person:6%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0051@company.example,primary,2026-02-21,2026-05-22,123,63,2740,43.5,11,10:00-16:00,0.058,0.003,28,3012,56.7,31,11,52,0.175,7.2,0.168,0.038,41,4,3,0.077,44,0.636,7064,37,home:45%;office:45%;other:10%,18,Google Meet:54%;Zoom:21%;Microsoft Teams:9%;In-person:11%;Other:5%,2026-05-22T09:00:00+09:00,success,
emp0067@company.example,primary,2026-02-21,2026-05-22,82,74,2398,32.4,6,09:00-16:00,0.171,0.011,24,1418,62.1,24,21,53,0.284,7.7,0.151,0.129,42,2,4,0.094,29,0.261,5714,35,home:45%;office:45%;other:10%,22,Google Meet:58%;Zoom:18%;Microsoft Teams:6%;In-person:12%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0075@company.example,primary,2026-02-21,2026-05-22,84,54,2506,46.4,1,11:00-17:00,0.105,0.019,18,1815,66.2,22,15,39,0.278,7.3,0.123,0.0,36,3,3,0.0,19,0.311,5915,45,office:75%;home:20%;other:5%,18,Google Meet:51%;Zoom:22%;Microsoft Teams:11%;In-person:10%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0079@company.example,primary,2026-02-21,2026-05-22,90,74,2442,33.0,6,10:00-17:00,0.051,0.017,17,1799,72.5,20,22,52,0.297,3.5,0.062,0.049,44,4,3,0.019,21,0.196,5813,44,home:60%;office:30%;other:10%,22,Google Meet:56%;Zoom:19%;Microsoft Teams:11%;In-person:8%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0037@company.example,primary,2026-02-21,2026-05-22,62,30,1113,37.1,5,10:00-16:00,0.093,0.013,13,1327,53.7,26,1,29,0.033,8.4,0.104,0.148,21,2,1,0.172,24,0.577,3522,50,home:60%;office:30%;other:10%,12,Google Meet:65%;Zoom:15%;Microsoft Teams:7%;In-person:6%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0045@company.example,primary,2026-02-21,2026-05-22,115,66,2528,38.3,10,10:00-16:00,0.063,0.032,20,2197,78.3,24,2,64,0.03,4.8,0.106,0.098,55,5,4,0.0,45,0.57,6076,50,office:75%;home:20%;other:5%,21,Google Meet:56%;Zoom:16%;Microsoft Teams:10%;In-person:13%;Other:5%,2026-05-22T09:00:00+09:00,success,
emp0049@company.example,primary,2026-02-21,2026-05-22,79,65,3022,46.5,6,11:00-17:00,0.05,0.065,22,1894,59.6,21,2,63,0.031,2.9,0.052,0.032,47,7,2,0.111,21,0.275,6375,36,home:60%;office:30%;other:10%,18,Google Meet:60%;Zoom:16%;Microsoft Teams:11%;In-person:7%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0013@company.example,primary,2026-02-21,2026-05-22,73,55,2574,46.8,4,09:00-17:00,0.081,0.044,14,952,59.3,29,10,45,0.182,6.3,0.141,0.013,40,3,3,0.0,30,0.447,4321,39,office:75%;home:20%;other:5%,19,Google Meet:58%;Zoom:19%;Microsoft Teams:9%;In-person:9%;Other:5%,2026-05-22T09:00:00+09:00,success,
emp0025@company.example,primary,2026-02-21,2026-05-22,67,42,1420,33.8,4,10:00-16:00,0.182,0.036,26,2580,48.2,26,4,38,0.095,5.1,0.157,0.027,27,4,1,0.158,23,0.37,4727,38,home:60%;office:30%;other:10%,12,Google Meet:56%;Zoom:20%;Microsoft Teams:11%;In-person:7%;Other:6%,2026-05-22T09:00:00+09:00,success,
